,comment
140,Chicken not cooked well
141,There’s no sauce at all it’s like drops & it’s very spicy
142,Nice and fresh
143,جوده الفراخ سيئه و مليء بالزيت
144,Rizo was not spicy and all food was not warm and arrived late
145,the food was good the app was not next time I will order from talabat or from the restaurant directly
146,There’s no enough chicken and that was so cold
147,طلبت سينجل بوكس قطعتين فراخ صغيرين جدا منهم جناح مفيهوش حاجة تتاكل الصراحة سيئ جدا مكنتش اتوقع كده ابدا
148,الصراحة الاكل كان حلو و سخن و كمان ف اوفر حلو اوى و الطيار وصل بسرعة التعليق الوحيد على البطاطس كانت غامغة بس سخنة
149,الرز معجن
150,للاسف المرة دي كان سئ و الفراخ غامقة و بتشد مش طازة
151,الاكل كان بارد ومكنش حلو
152,الصوره والاكل شئ تاني خالص
153,sandwich was very very bad and cold
154,Was bot fresh
155,أتمنى إضافة تقيم بالسالب لمثل هذه المطاعم التي لا ترقى الى ان تحصل على تقييم برقم موجب من سيء لأسوأ دائما! أتنبأ لهذا المطعم بالآتي، أولا لن يستمر حتى عام ٢٠٢٥، بالكاد سيصمد في ٢٠٢٤، ثانيا سيكون من أكثر المطاعم صاحبة التقييمات السلبية خلال العام القا...
156,هذا أسوأ دجاج مقلي آكله في حياتي! استأذن إدارة الأبلكيشن لو يضيفوا تقييم بالسالب عشان نعرف نقيم المطاعم ال بتقدم قرف زي المطعم دا. انتوا لو تقلبوني ف الف جنيه وماكلش القرف ال انا لسة أكله دا يكون افضل ليا!! آخر مرة اطلب بعد هذا المستوى الرديء والبشع
157,الطيار محترم جدا وووصل بسرعه ربنا يوفقه❤️
158,I ordered two times. Each time I got spicy though I ordered original 😡 This is completely an unrespectful action
159,وحش اوي و الفراخ محروقه بجد و ناشفه
160,"The fries were reheated, hard as a rock, and terrible i threw them away, but the sandwich was good"
161,I ordered triple and got double
162,الاكل جميل جدا لكن مجاش معاه معلقة ولا مناديل معطرة
163,There is no tissues or ketchup or spoon so the pachaging is 2 out of 10
164,The order was missing things and I paid for it all
165,Very cold it tasted bad
166,I got spicy instead of normal
167,One of the worst times I have eaten from you
168,الفراخ مكنتش طازة و البطاطس مزيته
169,مش حلو تمامن 👎🏻
170,Over an hour late
171,الاوردر اخد 1:40 ساعة و اربعين دقيقة من الازاريطة لمحرم بك!!!!
172,The order was supposed to arrive at 11:57 and it came at 12:47 and the food was cold
173,عظيم
174,الأكل كويس وسخن وكل حاجة بس عادي جدا يعني الصراحة التتبيلة بتاعته عادية البركة وكنتاكي احسن بكتير الصراحة ..
